City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,st. john's,47.5649,-52.7093,280.46,93,100,10.29,CA,1732928931
83,sainte-menehould,49.0833,4.9,273.97,90,39,2.73,FR,1732928952
84,anadyr,64.75,177.4833,271.43,74,40,6.0,RU,1732928953
85,codrington,-38.2667,141.9667,290.62,98,100,2.45,AU,1732928955
86,tiksi,71.6872,128.8694,252.3,100,93,2.3,RU,1732928956
87,san antonio de pale,-1.4014,5.6325,299.44,85,95,4.42,GQ,1732928957
88,port saint john's,-31.6229,29.5448,290.49,84,27,1.63,ZA,1732928958
89,new ulm,44.3125,-94.4605,261.72,73,0,5.66,US,1732928959
90,elizabethtown,37.694,-85.8591,273.22,59,0,2.06,US,1732928879
91,ilha de mocambique,-15.0342,40.7358,298.43,89,100,6.3,MZ,1732928961
92,de aar,-30.6497,24.0123,289.44,19,0,0.25,ZA,1732928962
93,selfoss,63.9331,-20.9971,269.29,41,100,5.23,IS,1732928963
94,touros,-5.1989,-35.4608,298.95,76,7,6.53,BR,1732928960
95,fort bragg,35.139,-79.006,280.83,70,0,2.24,US,1732928965
96,cannonvale,-20.2833,148.7,296.81,88,100,1.46,AU,1732928966
97,nagqu,31.5,92.0,261.87,17,100,1.23,CN,1732928968
98,senador jose porfirio,-2.5908,-51.9542,301.15,53,91,1.11,BR,1732928969
99,beloyarskiy,63.7119,66.6722,269.25,95,97,2.84,RU,1732928970
100,port moresby,-9.4431,147.1797,303.83,68,99,4.66,PG,1732928882
101,tura,25.5198,90.2201,288.74,61,51,2.0,IN,1732928972
102,ushuaia,-54.8,-68.3,279.03,91,100,1.6,AR,1732928893
103,sidi okba,34.7451,5.8983,288.0,54,0,0.59,DZ,1732928974
104,kodiak,57.79,-152.4072,274.88,64,100,4.12,US,1732928895
105,al hamul,31.3115,31.1477,289.4,66,44,2.0,EG,1732928976
106,greymouth,-42.4667,171.2,290.19,66,42,4.11,NZ,1732928977
107,natal,-5.795,-35.2094,299.27,78,20,2.57,BR,1732928729
108,otjiwarongo,-20.4637,16.6477,294.67,24,26,5.67,NA,1732928979
109,bulungu,-4.55,18.6,295.18,89,70,0.49,CD,1732928981
110,padang,-0.9492,100.3543,298.18,72,100,1.25,ID,1732928749
111,griffith,41.5284,-87.4237,268.07,61,100,5.66,US,1732928983
112,marble falls,30.5782,-98.2728,282.65,44,0,1.54,US,1732928984
113,prachin buri,14.0833,101.6667,294.22,67,8,3.84,TH,1732928985
114,port lincoln,-34.7333,135.8667,293.16,54,0,2.42,AU,1732928986
115,cabo san lucas,22.8909,-109.9124,297.32,64,0,1.54,MX,1732928987
116,fale old settlement,-9.3852,-171.2468,301.45,69,38,6.55,TK,1732928988
117,wailua homesteads,22.0669,-159.378,298.78,78,75,6.17,US,1732928989
118,marco island,25.9363,-81.7157,296.15,91,27,3.39,US,1732928804
119,pisco,-13.7,-76.2167,293.18,88,0,6.69,PE,1732928991
120,neiafu,-18.65,-173.9833,301.53,83,75,5.66,TO,1732928992
121,princeville,45.7668,-61.2985,276.87,84,100,2.68,CA,1732928994
122,portland,45.5234,-122.6762,278.6,82,16,0.89,US,1732928995
123,carutapera,-1.195,-46.02,299.41,80,87,4.74,BR,1732928996
124,nemuro,43.3236,145.575,276.53,53,100,6.75,JP,1732928997
125,kristiansund,63.1115,7.732,279.89,93,100,4.63,NO,1732928999
126,taksimo,56.3444,114.8794,251.78,88,99,0.77,RU,1732929000
127,lata,40.1629,-8.3327,286.35,93,100,1.8,PT,1732929001
128,benguela,-12.5763,13.4055,298.18,79,100,1.94,AO,1732929003
129,playa del carmen,20.6274,-87.0799,299.2,78,20,5.14,MX,1732929004
130,maputo,-25.9653,32.5892,293.97,68,75,4.12,MZ,1732929005
131,suva,-18.1416,178.4415,300.86,78,75,2.57,FJ,1732929006
132,al jawf,29.5,38.75,283.08,47,0,2.08,SA,1732929007
133,berdigestyakh,62.0989,126.6992,251.26,95,100,2.87,RU,1732929008
134,svetlogorsk,52.6333,29.7333,274.02,99,100,0.86,BY,1732928979
135,saint-georges,12.0564,-61.7485,300.49,81,94,7.04,GD,1732929010
136,namibe,-15.1961,12.1522,294.65,85,35,2.16,AO,1732929011
137,nicoya,10.1483,-85.452,297.23,93,100,1.02,CR,1732929012
138,ribeira grande,38.5167,-28.7,289.14,74,100,2.24,PT,1732929013
139,al burayqah,30.4062,19.5739,290.61,58,65,3.45,LY,1732929015
140,areado,-21.3586,-46.1456,292.75,93,50,0.84,BR,1732929016
141,shanhaiguan,39.9988,119.7564,279.46,53,0,2.06,CN,1732929017
142,lucapa,-8.4192,20.7447,290.99,97,89,0.92,AO,1732929018
143,akureyri,65.6835,-18.0878,263.64,82,100,2.13,IS,1732929019
144,el nido,11.1858,119.3956,303.79,75,52,5.18,PH,1732929020
145,ancud,-41.8697,-73.8203,283.75,82,0,2.37,CL,1732929021
